R,V,S,E,P,H,landslide
0.364,0.443,0.253,0.827,0.779,0.663,1
0.458,0.303,0.698,0.3,0.512,0.29,1
0.864,0.432,0.371,0.303,0.131,0.422,0
0.346,0.387,0.316,0.302,0.578,0.386,1
0.474,0.527,0.404,0.442,0.148,0.638,1
0.818,0.603,0.675,0.268,0.115,0.263,1
0.358,0.882,0.403,0.939,0.83,0.445,1
0.277,0.742,0.339,0.4,0.037,0.879,0
0.44,0.54,0.819,0.237,0.987,0.729,1
0.595,0.257,0.363,0.149,0.479,0.715,1
0.357,0.766,0.533,0.388,0.806,0.613,0
0.645,0.371,0.478,0.852,0.243,0.22,1
0.649,0.514,0.459,0.498,0.433,0.936,0
0.579,0.648,0.407,0.749,0.555,0.428,1
0.075,0.397,0.224,0.424,0.245,0.582,0
0.462,0.488,0.816,0.76,0.464,0.703,0
0.832,0.727,0.362,0.735,0.696,0.904,0
0.514,0.041,0.431,0.632,0.384,0.198,0
0.293,0.417,0.741,0.2,0.758,0.647,1
0.165,0.85,0.593,0.808,0.591,0.286,0
0.417,0.106,0.689,0.634,0.385,0.188,1
0.439,0.305,0.92,0.561,0.618,0.334,0
0.251,0.852,0.729,0.91,0.139,0.314,0
0.37,0.738,0.874,0.262,0.345,0.834,1
0.448,0.407,0.795,0.104,0.21,0.334,0
0.423,0.702,0.494,0.445,0.76,0.479,0
0.605,0.144,0.874,0.36,0.266,0.614,0
0.172,0.488,0.958,0.934,0.319,0.452,0
0.163,0.838,0.905,0.496,0.491,0.218,0
0.536,0.912,0.943,0.099,0.706,0.785,0
0.791,0.761,0.889,0.274,0.289,0.304,0
0.789,0.456,0.755,0.512,0.019,0.077,1
0.491,0.171,0.58,0.651,0.329,0.101,0
0.452,0.669,0.767,0.133,0.373,0.982,0
0.546,0.801,0.797,0.529,0.592,0.305,0
0.67,0.133,0.648,0.765,0.322,0.728,1
0.44,0.423,0.37,0.514,0.518,0.652,1
0.879,0.173,0.798,0.871,0.634,0.333,1
0.451,0.89,0.188,0.462,0.166,0.736,0
0.153,0.262,0.91,0.92,0.702,0.137,1
0.533,0.62,0.314,0.269,0.285,0.639,1
0.682,0.345,0.403,0.117,0.253,0.476,1
0.648,0.334,0.464,0.485,0.128,0.526,0
0.364,0.551,0.687,0.495,0.736,0.194,0
0.878,0.599,0.46,0.172,0.208,0.537,1
0.765,0.897,0.839,0.508,0.275,0.207,1
0.254,0.76,0.185,0.289,0.225,0.854,1
0.179,0.247,0.625,0.136,0.567,0.388,1
0.42,0.703,0.707,0.955,0.705,0.585,1
0.071,0.651,0.272,0.726,0.279,0.6,1
0.866,0.449,0.86,0.579,0.31,0.56,1
0.517,0.583,0.106,0.669,0.392,0.559,1
0.168,0.166,0.596,0.646,0.401,0.359,1
0.584,0.688,0.617,0.472,0.7,0.759,1
0.267,0.115,0.497,0.656,0.6,0.194,0
0.683,0.229,0.743,0.26,0.205,0.479,1
0.688,0.69,0.87,0.206,0.402,0.561,0
0.605,0.562,0.46,0.649,0.801,0.094,1
0.622,0.525,0.842,0.988,0.824,0.095,0
0.674,0.614,0.497,0.586,0.187,0.286,0
0.439,0.458,0.66,0.568,0.608,0.367,1
0.875,0.748,0.62,0.251,0.378,0.297,0
0.705,0.136,0.372,0.482,0.725,0.329,1
0.551,0.724,0.645,0.932,0.336,0.615,1
0.752,0.464,0.286,0.523,0.654,0.868,0
0.723,0.334,0.824,0.824,0.626,0.325,0
0.248,0.581,0.669,0.491,0.925,0.265,0
0.243,0.393,0.498,0.792,0.803,0.594,0
0.206,0.401,0.421,0.572,0.445,0.876,1
0.27,0.788,0.595,0.558,0.941,0.695,1
0.603,0.665,0.882,0.805,0.324,0.614,1
0.958,0.692,0.911,0.491,0.69,0.201,1
0.485,0.817,0.928,0.85,0.346,0.604,1
0.513,0.462,0.436,0.936,0.317,0.941,1
0.657,0.441,0.328,0.3,0.471,0.376,0
0.651,0.243,0.52,0.355,0.685,0.609,1
0.387,0.58,0.403,0.393,0.672,0.717,1
0.395,0.517,0.785,0.814,0.428,0.569,1
0.559,0.391,0.112,0.528,0.749,0.777,1
0.363,0.622,0.932,0.415,0.815,0.675,1
0.409,0.479,0.34,0.433,0.439,0.195,1
0.433,0.546,0.564,0.47,0.394,0.356,0
0.785,0.686,0.478,0.516,0.189,0.381,1
0.432,0.339,0.833,0.322,0.285,0.223,1
0.341,0.65,0.564,0.03,0.961,0.169,1
0.596,0.679,0.824,0.555,0.407,0.403,0
0.577,0.591,0.652,0.389,0.07,0.543,1
0.629,0.096,0.813,0.515,0.602,0.441,1
0.395,0.155,0.901,0.929,0.35,0.554,1
0.242,0.762,0.559,0.446,0.858,0.773,0
0.363,0.663,0.804,0.268,0.584,0.544,1
0.604,0.747,0.886,0.812,0.267,0.716,1
0.622,0.57,0.463,0.616,0.486,0.771,1
0.291,0.478,0.791,0.228,0.644,0.699,0
0.414,0.415,0.669,0.212,0.55,0.491,1
0.222,0.466,0.597,0.586,0.944,0.328,1
0.262,0.675,0.722,0.384,0.361,0.272,1
0.706,0.437,0.402,0.386,0.375,0.164,1
0.788,0.75,0.837,0.594,0.671,0.133,1
0.124,0.704,0.788,0.551,0.585,0.464,0
0.469,0.285,0.839,0.644,0.148,0.939,1
0.585,0.655,0.783,0.728,0.14,0.692,1
0.779,0.431,0.377,0.257,0.589,0.272,1
0.13,0.572,0.316,0.579,0.575,0.611,0
0.605,0.301,0.645,0.706,0.284,0.509,1
0.637,0.652,0.584,0.919,0.411,0.682,1
0.244,0.538,0.906,0.395,0.193,0.143,0
0.624,0.926,0.366,0.697,0.723,0.811,1
0.615,0.683,0.627,0.55,0.815,0.137,0
0.481,0.402,0.693,0.705,0.617,0.564,1
0.152,0.674,0.421,0.619,0.311,0.87,0
0.821,0.884,0.817,0.373,0.719,0.709,1
0.815,0.555,0.306,0.419,0.562,0.655,1
0.18,0.256,0.41,0.541,0.307,0.615,0
0.22,0.093,0.503,0.321,0.621,0.641,1
0.558,0.798,0.637,0.352,0.573,0.282,1
0.716,0.625,0.273,0.519,0.299,0.104,1
0.24,0.284,0.865,0.246,0.819,0.294,1
0.403,0.268,0.83,0.242,0.304,0.505,0
0.475,0.395,0.342,0.445,0.172,0.412,0
0.743,0.784,0.715,0.37,0.69,0.339,1
0.406,0.933,0.507,0.55,0.459,0.59,0
0.625,0.672,0.351,0.773,0.635,0.757,1
0.613,0.441,0.497,0.289,0.78,0.445,0
0.407,0.427,0.141,0.426,0.624,0.643,1
0.853,0.448,0.633,0.783,0.538,0.112,1
0.612,0.321,0.739,0.522,0.558,0.382,1
0.261,0.45,0.434,0.873,0.208,0.374,1
0.748,0.46,0.66,0.431,0.586,0.091,0
0.492,0.415,0.903,0.703,0.358,0.611,1
0.514,0.854,0.148,0.511,0.579,0.182,0
0.104,0.489,0.764,0.267,0.656,0.315,0
0.614,0.212,0.604,0.786,0.445,0.231,1
0.845,0.141,0.341,0.438,0.597,0.263,0
0.4,0.93,0.985,0.612,0.606,0.404,0
0.389,0.857,0.468,0.727,0.286,0.657,0
0.567,0.207,0.852,0.723,0.777,0.249,1
0.969,0.321,0.635,0.261,0.059,0.572,1
0.712,0.186,0.715,0.579,0.825,0.589,1
0.562,0.805,0.611,0.875,0.511,0.595,0
0.302,0.732,0.684,0.678,0.25,0.383,1
0.287,0.292,0.722,0.286,0.495,0.599,1
0.694,0.398,0.795,0.585,0.622,0.776,1
0.211,0.442,0.477,0.208,0.539,0.936,0
0.171,0.515,0.894,0.728,0.728,0.608,0
0.161,0.708,0.396,0.186,0.321,0.24,0
0.304,0.5,0.735,0.587,0.751,0.638,1
0.613,0.255,0.753,0.425,0.387,0.739,0
0.37,0.96,0.394,0.293,0.713,0.512,0
0.467,0.642,0.512,0.66,0.196,0.516,1
0.123,0.327,0.86,0.78,0.392,0.362,0
0.873,0.663,0.601,0.577,0.297,0.584,1
0.881,0.178,0.8,0.81,0.491,0.678,1
0.415,0.315,0.379,0.699,0.564,0.784,0
0.516,0.723,0.157,0.336,0.276,0.638,1
0.574,0.146,0.871,0.402,0.027,0.188,1
0.763,0.263,0.623,0.094,0.369,0.096,1
0.689,0.691,0.739,0.118,0.298,0.884,1
0.471,0.499,0.131,0.982,0.289,0.431,0
0.397,0.297,0.895,0.939,0.54,0.685,1
0.249,0.591,0.653,0.227,0.338,0.73,0
0.537,0.481,0.076,0.552,0.476,0.621,0
0.417,0.588,0.391,0.681,0.603,0.266,1
0.504,0.371,0.631,0.358,0.107,0.316,0
0.153,0.422,0.778,0.468,0.362,0.316,1
0.381,0.238,0.737,0.174,0.509,0.256,0
0.31,0.286,0.661,0.208,0.237,0.577,1
0.7,0.631,0.886,0.542,0.331,0.336,0
0.562,0.237,0.997,0.805,0.548,0.721,1
0.305,0.645,0.375,0.543,0.597,0.419,0
0.332,0.436,0.573,0.595,0.023,0.243,0
0.579,0.413,0.893,0.525,0.643,0.374,1
0.514,0.436,0.782,0.221,0.419,0.772,0
0.486,0.458,0.618,0.343,0.763,0.3,0
0.563,0.327,0.808,0.4,0.71,0.691,1
0.725,0.75,0.72,0.455,0.24,0.597,0
0.394,0.882,0.568,0.287,0.361,0.781,1
0.227,0.791,0.406,0.205,0.477,0.718,0
0.629,0.444,0.781,0.244,0.45,0.372,1
0.424,0.504,0.502,0.571,0.657,0.168,1
0.649,0.736,0.873,0.271,0.879,0.748,1
0.774,0.716,0.248,0.333,0.017,0.734,1
0.477,0.451,0.392,0.867,0.225,0.518,0
0.395,0.882,0.665,0.147,0.582,0.471,0
0.061,0.429,0.776,0.467,0.663,0.378,1
0.248,0.262,0.834,0.344,0.427,0.237,1
0.294,0.301,0.153,0.46,0.358,0.785,0
0.548,0.755,0.821,0.467,0.495,0.865,1
0.846,0.491,0.377,0.665,0.873,0.88,1
0.217,0.535,0.635,0.121,0.354,0.806,1
0.539,0.184,0.193,0.171,0.079,0.256,0
0.423,0.508,0.196,0.699,0.562,0.884,0
0.244,0.372,0.514,0.432,0.699,0.711,0
0.659,0.796,0.272,0.808,0.574,0.213,1
0.759,0.252,0.38,0.4,0.72,0.725,0
0.592,0.668,0.507,0.608,0.44,0.549,1
0.635,0.489,0.913,0.412,0.129,0.428,1
0.558,0.086,0.738,0.836,0.473,0.603,1
0.443,0.939,0.685,0.597,0.902,0.591,1
0.75,0.615,0.754,0.578,0.382,0.52,0
0.245,0.745,0.886,0.171,0.643,0.922,0
0.3,0.279,0.749,0.7,0.398,0.592,0
0.046,0.145,0.94,0.359,0.737,0.259,0
0.516,0.473,0.774,0.796,0.811,0.895,1
0.565,0.854,0.615,0.546,0.736,0.525,1
0.495,0.352,0.753,0.291,0.309,0.516,1
0.489,0.684,0.434,0.652,0.982,0.296,1
0.342,0.366,0.46,0.876,0.619,0.629,1
0.353,0.346,0.442,0.881,0.559,0.481,0
0.524,0.118,0.719,0.495,0.227,0.278,1
0.314,0.352,0.688,0.624,0.307,0.683,0
0.218,0.83,0.349,0.452,0.717,0.751,0
0.48,0.179,0.707,0.187,0.912,0.225,1
0.328,0.69,0.685,0.544,0.903,0.577,1
0.595,0.179,0.352,0.327,0.636,0.579,0
0.822,0.346,0.507,0.37,0.646,0.034,0
0.389,0.253,0.805,0.786,0.764,0.321,1
0.696,0.36,0.638,0.499,0.779,0.476,0
0.153,0.659,0.851,0.207,0.642,0.883,1
0.259,0.463,0.502,0.627,0.329,0.316,0
0.272,0.239,0.84,0.563,0.756,0.673,1
0.538,0.284,0.25,0.251,0.089,0.434,0
0.604,0.43,0.709,0.623,0.352,0.782,1
0.337,0.582,0.831,0.414,0.815,0.16,0
0.876,0.473,0.516,0.54,0.244,0.809,1
0.731,0.628,0.9,0.583,0.262,0.138,0
0.423,0.572,0.919,0.204,0.637,0.429,0
0.482,0.766,0.647,0.393,0.434,0.585,1
0.524,0.168,0.655,0.678,0.379,0.615,0
0.424,0.256,0.59,0.341,0.588,0.464,1
0.08,0.849,0.932,0.071,0.244,0.513,1
0.469,0.309,0.287,0.334,0.206,0.682,0
0.05,0.452,0.638,0.722,0.343,0.634,0
0.878,0.621,0.823,0.388,0.872,0.716,1
0.658,0.457,0.572,0.625,0.338,0.179,1
0.367,0.582,0.475,0.449,0.157,0.873,0
0.845,0.437,0.774,0.621,0.365,0.342,1
0.894,0.217,0.728,0.477,0.161,0.562,1
0.322,0.634,0.5,0.976,0.118,0.531,1
0.669,0.316,0.766,0.516,0.096,0.837,0
0.733,0.301,0.643,0.053,0.695,0.805,1
0.426,0.244,0.793,0.748,0.559,0.128,1
0.135,0.357,0.873,0.524,0.68,0.528,1
0.494,0.447,0.65,0.853,0.499,0.53,1
0.533,0.387,0.5,0.51,0.676,0.791,1
0.661,0.493,0.6,0.521,0.56,0.304,0
0.295,0.827,0.545,0.305,0.64,0.752,1
0.346,0.245,0.427,0.417,0.474,0.849,1
0.119,0.499,0.619,0.317,0.284,0.606,1
0.607,0.347,0.393,0.673,0.636,0.338,1
0.789,0.571,0.907,0.215,0.541,0.634,1
0.624,0.139,0.938,0.434,0.204,0.87,1
0.15,0.369,0.443,0.518,0.934,0.417,0
0.289,0.376,0.512,0.61,0.595,0.819,1
0.423,0.779,0.956,0.648,0.831,0.368,1
0.743,0.319,0.766,0.46,0.762,0.68,1
0.926,0.443,0.452,0.335,0.442,0.286,1
0.25,0.815,0.683,0.678,0.855,0.583,1
0.588,0.72,0.641,0.307,0.841,0.777,1
0.667,0.806,0.914,0.363,0.301,0.119,0
0.131,0.337,0.794,0.644,0.597,0.677,0
0.266,0.268,0.409,0.251,0.628,0.119,1
0.811,0.313,0.503,0.206,0.592,0.928,1
0.083,0.034,0.623,0.289,0.572,0.362,1
0.178,0.376,0.721,0.681,0.889,0.54,1
0.885,0.321,0.732,0.018,0.659,0.884,1
0.529,0.525,0.551,0.651,0.565,0.516,1
0.222,0.629,0.765,0.846,0.767,0.597,0
0.35,0.525,0.7,0.645,0.63,0.653,0
0.594,0.461,0.548,0.622,0.154,0.309,1
0.714,0.691,0.845,0.794,0.216,0.359,0
0.764,0.32,0.824,0.524,0.209,0.464,1
0.192,0.55,0.867,0.441,0.552,0.633,1
0.489,0.647,0.974,0.182,0.394,0.327,1
0.3,0.223,0.712,0.503,0.901,0.251,1
0.226,0.565,0.904,0.687,0.528,0.779,0
0.455,0.638,0.343,0.633,0.686,0.461,0
0.573,0.275,0.658,0.483,0.358,0.356,1
0.296,0.71,0.756,0.408,0.884,0.597,0
0.274,0.136,0.508,0.689,0.698,0.697,1
0.395,0.542,0.698,0.836,0.594,0.429,1
0.795,0.544,0.438,0.164,0.525,0.643,1
0.475,0.369,0.145,0.303,0.428,0.659,1
0.245,0.536,0.757,0.494,0.95,0.534,1
0.748,0.291,0.751,0.48,0.381,0.896,1
0.432,0.246,0.732,0.612,0.477,0.464,0
0.488,0.406,0.193,0.792,0.258,0.27,1
0.493,0.188,0.639,0.467,0.062,0.61,1
0.242,0.95,0.489,0.68,0.676,0.301,0
0.224,0.157,0.834,0.714,0.37,0.551,0
0.076,0.202,0.75,0.371,0.461,0.366,0
0.056,0.86,0.164,0.56,0.297,0.49,1
0.646,0.796,0.507,0.583,0.406,0.912,1
0.377,0.354,0.78,0.558,0.724,0.556,1
0.012,0.106,0.876,0.426,0.486,0.373,1
0.879,0.678,0.966,0.393,0.639,0.677,1
0.821,0.287,0.251,0.259,0.315,0.1,1
0.421,0.725,0.384,0.391,0.28,0.454,1
0.774,0.829,0.659,0.176,0.4,0.871,1
0.76,0.307,0.63,0.904,0.601,0.695,1
0.546,0.545,0.687,0.395,0.6,0.218,1
0.226,0.778,0.794,0.553,0.212,0.837,1
0.471,0.71,0.764,0.821,0.276,0.428,0
0.391,0.407,0.939,0.314,0.31,0.372,1
0.303,0.19,0.519,0.473,0.205,0.554,1
0.614,0.966,0.658,0.294,0.633,0.961,1
0.7,0.636,0.896,0.163,0.77,0.48,1
0.541,0.831,0.912,0.447,0.387,0.185,0
0.159,0.527,0.395,0.794,0.414,0.453,0
0.241,0.571,0.86,0.677,0.606,0.73,1
0.879,0.637,0.861,0.869,0.884,0.351,0
0.092,0.338,0.662,0.538,0.467,0.408,1
0.507,0.511,0.891,0.605,0.419,0.598,1
0.373,0.769,0.972,0.224,0.692,0.88,1
0.575,0.709,0.839,0.718,0.826,0.274,0
0.697,0.141,0.897,0.448,0.439,0.582,1
0.624,0.731,0.642,0.637,0.518,0.375,1
0.75,0.246,0.879,0.359,0.335,0.53,1
0.61,0.411,0.888,0.315,0.104,0.394,1
0.566,0.741,0.469,0.488,0.785,0.331,1
0.658,0.485,0.296,0.937,0.813,0.342,1
0.777,0.601,0.593,0.814,0.783,0.693,1
0.505,0.471,0.964,0.274,0.552,0.315,1
0.776,0.566,0.786,0.475,0.223,0.52,1
0.745,0.154,0.798,0.937,0.221,0.885,1
0.23,0.088,0.333,0.024,0.467,0.577,1
0.265,0.545,0.417,0.14,0.121,0.926,1
0.632,0.528,0.641,0.052,0.61,0.23,1
0.822,0.352,0.415,0.659,0.35,0.551,1
0.345,0.194,0.632,0.836,0.521,0.194,0
0.516,0.607,0.588,0.548,0.353,0.289,0
0.636,0.419,0.802,0.572,0.722,0.871,1
0.057,0.826,0.508,0.65,0.702,0.268,1
0.607,0.199,0.521,0.64,0.172,0.224,1
0.313,0.746,0.624,0.527,0.576,0.629,1
0.524,0.111,0.291,0.225,0.34,0.337,0
0.111,0.527,0.746,0.889,0.21,0.326,1
0.29,0.6,0.673,0.594,0.115,0.321,1
0.569,0.908,0.86,0.208,0.799,0.733,1
0.465,0.48,0.72,0.736,0.818,0.509,1
0.353,0.059,0.841,0.66,0.497,0.288,1
0.489,0.796,0.527,0.595,0.634,0.067,0
0.631,0.629,0.585,0.208,0.247,0.681,1
0.528,0.654,0.685,0.247,0.313,0.348,1
0.232,0.821,0.402,0.423,0.107,0.847,0
0.178,0.875,0.692,0.315,0.72,0.355,0
0.706,0.638,0.803,0.23,0.915,0.129,1
0.551,0.795,0.767,0.415,0.54,0.782,0
0.602,0.231,0.521,0.618,0.725,0.254,1
0.403,0.317,0.691,0.17,0.439,0.68,1
0.659,0.663,0.698,0.058,0.619,0.218,1
0.619,0.419,0.845,0.214,0.499,0.721,1
0.378,0.63,0.195,0.278,0.095,0.209,0
0.696,0.789,0.627,0.768,0.967,0.356,1
0.209,0.563,0.608,0.532,0.511,0.612,1
0.734,0.594,0.767,0.395,0.417,0.322,0
0.78,0.547,0.919,0.23,0.701,0.585,1
0.548,0.84,0.557,0.518,0.412,0.327,0
0.36,0.215,0.633,0.667,0.923,0.699,1
0.859,0.826,0.916,0.341,0.91,0.546,1
0.4,0.601,0.261,0.794,0.572,0.173,1
0.187,0.361,0.282,0.759,0.756,0.158,1
0.706,0.92,0.86,0.869,0.85,0.583,1
0.73,0.509,0.544,0.26,0.621,0.945,0
0.327,0.648,0.877,0.323,0.734,0.428,0
0.444,0.715,0.631,0.137,0.388,0.702,1
0.464,0.573,0.729,0.767,0.337,0.037,0
0.645,0.87,0.237,0.622,0.808,0.783,1
0.821,0.382,0.489,0.493,0.743,0.644,1
0.339,0.279,0.842,0.151,0.774,0.283,1
0.364,0.756,0.557,0.715,0.75,0.596,1
0.262,0.531,0.386,0.274,0.575,0.2,1
0.901,0.47,0.515,0.417,0.077,0.531,1
0.592,0.402,0.772,0.56,0.88,0.169,1
0.397,0.141,0.692,0.904,0.239,0.467,0
0.352,0.477,0.411,0.473,0.869,0.187,0
0.244,0.486,0.681,0.748,0.849,0.459,0
0.858,0.515,0.22,0.532,0.539,0.45,0
0.472,0.383,0.833,0.378,0.059,0.158,0
0.338,0.468,0.95,0.693,0.644,0.765,1
0.771,0.661,0.321,0.669,0.814,0.72,1
0.377,0.899,0.245,0.29,0.212,0.751,1
0.581,0.434,0.51,0.112,0.223,0.829,0
0.268,0.626,0.603,0.365,0.619,0.707,0
0.402,0.716,0.722,0.175,0.735,0.059,1
0.469,0.394,0.646,0.536,0.576,0.205,1
0.469,0.13,0.575,0.821,0.156,0.159,1
0.297,0.734,0.139,0.326,0.498,0.241,0
0.761,0.738,0.66,0.324,0.716,0.438,0
0.519,0.62,0.772,0.447,0.895,0.905,1
0.475,0.207,0.912,0.855,0.43,0.523,1
0.452,0.47,0.584,0.489,0.189,0.711,1
0.788,0.353,0.839,0.398,0.262,0.272,0
0.638,0.582,0.747,0.283,0.514,0.152,1
0.257,0.192,0.694,0.478,0.326,0.734,1
0.642,0.932,0.288,0.434,0.576,0.59,0
0.322,0.452,0.302,0.156,0.527,0.206,0
0.869,0.547,0.209,0.312,0.348,0.797,0
0.483,0.529,0.639,0.151,0.967,0.808,0
0.65,0.428,0.52,0.648,0.708,0.468,0
0.483,0.535,0.604,0.708,0.705,0.403,1
0.151,0.936,0.576,0.233,0.857,0.287,0
0.38,0.333,0.679,0.511,0.857,0.147,1
0.539,0.511,0.783,0.212,0.762,0.444,0
0.66,0.612,0.447,0.322,0.192,0.551,0
0.794,0.919,0.942,0.274,0.339,0.408,1
0.253,0.727,0.419,0.33,0.439,0.696,0
0.359,0.109,0.953,0.086,0.85,0.21,1
0.978,0.283,0.841,0.518,0.25,0.639,1
0.086,0.416,0.172,0.691,0.805,0.326,1
0.521,0.486,0.37,0.345,0.509,0.206,1
0.195,0.757,0.897,0.13,0.639,0.414,1
0.192,0.505,0.496,0.649,0.539,0.284,1
0.76,0.563,0.461,0.374,0.386,0.177,0
0.525,0.688,0.981,0.715,0.501,0.74,0
0.659,0.831,0.297,0.655,0.919,0.739,1
0.272,0.23,0.547,0.164,0.82,0.426,1
0.77,0.329,0.436,0.525,0.25,0.534,0
0.661,0.835,0.586,0.442,0.531,0.592,1
0.523,0.2,0.429,0.36,0.176,0.405,0
0.246,0.504,0.634,0.215,0.315,0.232,1
0.768,0.318,0.632,0.292,0.414,0.473,1
0.197,0.049,0.647,0.629,0.429,0.595,1
0.594,0.7,0.514,0.55,0.212,0.604,0
0.143,0.45,0.815,0.573,0.53,0.554,1
0.871,0.268,0.606,0.743,0.501,0.143,0
0.482,0.764,0.725,0.777,0.303,0.378,0
0.166,0.661,0.806,0.518,0.579,0.464,0
0.146,0.421,0.87,0.434,0.03,0.544,1
0.753,0.483,0.561,0.113,0.235,0.511,1
0.407,0.59,0.324,0.653,0.3,0.836,1
0.193,0.794,0.724,0.136,0.36,0.304,0
0.174,0.636,0.872,0.61,0.399,0.656,0
0.172,0.13,0.528,0.2,0.324,0.571,1
0.363,0.527,0.726,0.724,0.606,0.494,1
0.06,0.712,0.482,0.591,0.273,0.579,1
0.498,0.362,0.737,0.052,0.558,0.716,0
0.242,0.646,0.606,0.603,0.523,0.859,1
0.764,0.798,0.91,0.654,0.888,0.702,1
0.456,0.539,0.587,0.937,0.201,0.447,1
0.176,0.558,0.113,0.197,0.437,0.37,1
0.931,0.247,0.696,0.804,0.605,0.783,0
0.472,0.194,0.519,0.355,0.482,0.545,1
0.147,0.572,0.648,0.896,0.443,0.718,0
0.769,0.536,0.823,0.08,0.73,0.159,1
0.861,0.521,0.374,0.638,0.555,0.884,1
0.522,0.664,0.865,0.217,0.659,0.403,1
0.193,0.552,0.399,0.589,0.34,0.703,1
0.858,0.59,0.859,0.737,0.71,0.575,1
0.258,0.247,0.776,0.803,0.688,0.622,1
0.462,0.28,0.7,0.851,0.345,0.089,1
0.322,0.864,0.45,0.464,0.275,0.611,1
0.421,0.216,0.983,0.627,0.475,0.334,1
0.672,0.784,0.201,0.461,0.428,0.211,0
0.842,0.884,0.365,0.606,0.998,0.671,1
0.889,0.461,0.493,0.863,0.191,0.287,0
0.574,0.174,0.36,0.285,0.757,0.299,1
0.35,0.321,0.493,0.655,0.708,0.633,1
0.715,0.479,0.53,0.928,0.185,0.261,1
0.35,0.789,0.744,0.47,0.212,0.416,1
0.404,0.85,0.449,0.442,0.639,0.419,1
0.172,0.967,0.766,0.328,0.101,0.355,1
0.637,0.916,0.831,0.447,0.504,0.602,0
0.77,0.669,0.162,0.843,0.348,0.422,0
0.597,0.518,0.469,0.569,0.303,0.796,1
0.305,0.349,0.872,0.079,0.69,0.826,1
0.186,0.885,0.623,0.85,0.851,0.517,0
0.625,0.529,0.956,0.629,0.385,0.828,1
0.332,0.369,0.733,0.174,0.176,0.168,1
0.624,0.785,0.816,0.164,0.485,0.026,0
0.727,0.089,0.808,0.248,0.182,0.484,1
0.411,0.786,0.681,0.624,0.16,0.168,1
0.705,0.686,0.827,0.398,0.56,0.428,1
0.876,0.73,0.68,0.853,0.706,0.872,1
0.687,0.656,0.927,0.466,0.449,0.515,1
0.777,0.495,0.527,0.546,0.538,0.274,1
0.616,0.783,0.567,0.503,0.425,0.091,1
0.628,0.335,0.485,0.455,0.462,0.529,0
0.075,0.728,0.219,0.452,0.465,0.697,0
0.751,0.713,0.495,0.595,0.385,0.55,1
0.23,0.156,0.672,0.665,0.49,0.728,1
0.587,0.407,0.631,0.452,0.905,0.428,1
0.653,0.508,0.799,0.831,0.273,0.415,1
0.737,0.186,0.951,0.778,0.722,0.271,1
0.642,0.459,0.547,0.55,0.5,0.282,0
0.289,0.968,0.307,0.561,0.126,0.336,0
0.276,0.504,0.526,0.491,0.323,0.321,0
0.611,0.518,0.902,0.476,0.445,0.661,1
0.676,0.404,0.692,0.673,0.026,0.424,1
0.454,0.435,0.837,0.932,0.401,0.229,0
0.673,0.794,0.588,0.632,0.336,0.435,1
0.125,0.78,0.462,0.354,0.288,0.459,0
0.823,0.708,0.597,0.261,0.415,0.653,1
0.621,0.418,0.909,0.241,0.402,0.424,1
0.655,0.321,0.832,0.223,0.739,0.856,1
0.669,0.927,0.342,0.223,0.276,0.716,0
0.644,0.186,0.937,0.844,0.594,0.93,1
0.109,0.487,0.669,0.718,0.094,0.724,0
0.4,0.164,0.314,0.069,0.429,0.646,1
0.43,0.249,0.635,0.757,0.604,0.355,1
0.128,0.6,0.822,0.772,0.742,0.534,0
0.751,0.686,0.637,0.268,0.414,0.251,0
0.622,0.611,0.836,0.359,0.219,0.504,0
0.39,0.15,0.905,0.898,0.669,0.469,1
0.695,0.52,0.844,0.6,0.529,0.493,1
0.667,0.446,0.647,0.227,0.529,0.425,0
0.173,0.509,0.773,0.647,0.356,0.485,0
0.538,0.279,0.741,0.681,0.696,0.383,1
0.162,0.289,0.705,0.502,0.785,0.472,0
0.189,0.717,0.73,0.658,0.493,0.165,1
0.318,0.566,0.607,0.555,0.216,0.814,0
0.355,0.082,0.693,0.829,0.44,0.673,1
0.375,0.325,0.341,0.441,0.314,0.214,0
0.331,0.645,0.744,0.214,0.051,0.654,1
0.5,0.791,0.757,0.044,0.518,0.574,0
0.547,0.775,0.807,0.414,0.424,0.248,1
0.812,0.061,0.46,0.384,0.703,0.554,1
0.638,0.523,0.503,0.498,0.876,0.38,1
0.528,0.669,0.734,0.184,0.503,0.326,1
0.764,0.68,0.809,0.895,0.682,0.333,1
0.262,0.632,0.813,0.691,0.212,0.756,1
0.647,0.38,0.752,0.727,0.752,0.29,0
0.36,0.357,0.573,0.401,0.515,0.152,0
0.752,0.336,0.363,0.876,0.983,0.605,1
0.629,0.851,0.693,0.217,0.889,0.889,0
0.305,0.648,0.322,0.873,0.357,0.328,1
0.815,0.014,0.598,0.658,0.584,0.293,1
0.668,0.816,0.849,0.845,0.14,0.867,0
0.443,0.679,0.799,0.317,0.686,0.111,1
0.185,0.475,0.266,0.161,0.29,0.739,0
0.517,0.218,0.453,0.371,0.277,0.444,1
0.677,0.342,0.832,0.697,0.645,0.674,1
0.752,0.711,0.842,0.474,0.472,0.242,1
0.524,0.542,0.624,0.727,0.66,0.474,1
0.398,0.118,0.907,0.452,0.464,0.889,1
0.86,0.377,0.878,0.415,0.467,0.779,1
0.466,0.427,0.849,0.413,0.292,0.139,1
